player,game,mode,detail,score
Mike,Mario Kart 8 Deluxe,150cc Time Trial,Rainbow Road,1:58.234
Sarah,Mario Kart 8 Deluxe,150cc Time Trial,Mario Kart Stadium,2:01.456
Emma,Mario Kart 8 Deluxe,200cc Time Trial,Rainbow Road,1:52.891
Andrew,Mario Kart 8 Deluxe,150cc Time Trial,Coconut Mall,2:15.332
Mike,Mario Golf: Super Rush,Standard Golf,Bonny Greens,-3
Sarah,Mario Golf: Super Rush,Standard Golf,Ridgerock Lake,+2
Emma,Mario Golf: Super Rush,Speed Golf,Bonny Greens,4:56
Andrew,Mario Golf: Super Rush,Standard Golf,Balmy Dunes,E
Mike,Darts,501,,12
Sarah,Darts,501,,15
Emma,Darts,301,,9
Andrew,Darts,Cricket,,185
Mike,Stardew Valley,Completion %,Community Center,87.5
Sarah,Stardew Valley,Completion %,Fish Caught,62.0
Emma,Fallout 4,Eliminations,Deathclaw,47
Andrew,Fallout 4,Eliminations,Super Mutant,312
